kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
9529744,K01806.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,1,2.404556949,3.734e-06,-3.734e-06,131.67616,0.00144,-0.00144,0.97,0.001,-0.001,7.4918,0.0742,-0.0742,408.7,3.7,-3.7,4.69,1.08,-1.33,1958.0,,,3474.41,2393.2,-1876.71,147.1,1.0,q1_q17_dr25_tce,6426.0,175.0,-175.0,4.013,0.259,-0.13,1.775,0.411,-0.503,293.21356,46.175129,13.474
9529856,K07185.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,37.482223878,4.309e-06,-4.309e-06,155.8400132,9.56e-05,-9.56e-05,1.2,0.037,-0.02,4.81451,0.00428,-0.00428,28977.0,24.2,-24.2,114.14,18.29,-42.68,902.0,,,156.47,80.94,-101.59,1262.3,1.0,q1_q17_dr25_tce,6422.0,195.0,-176.0,3.78,0.32,-0.08,2.415,0.387,-0.903,293.26245,46.15062,13.46
9530945,K00708.01,Kepler-216 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,17.40665216,3.36e-05,-3.36e-05,171.00688,0.00158,-0.00158,0.022,0.332,-0.022,6.864,0.0518,-0.0518,586.9,7.4,-7.4,2.95,0.5,-0.46,814.0,,,104.04,51.4,-36.02,85.7,1.0,q1_q17_dr25_tce,6086.0,134.0,-134.0,4.274,0.143,-0.117,1.216,0.207,-0.188,293.72806,46.12915,13.998
9530945,K00708.02,Kepler-216 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.69363627,2.057e-05,-2.057e-05,176.5035,0.00224,-0.00224,0.366,0.142,-0.366,5.0324,0.0656,-0.0656,295.1,6.0,-6.0,2.12,0.36,-0.33,1069.0,,,308.61,152.48,-106.84,55.1,2.0,q1_q17_dr25_tce,6086.0,134.0,-134.0,4.274,0.143,-0.117,1.216,0.207,-0.188,293.72806,46.12915,13.998
9531850,K07943.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,0.66234265,5.097e-06,-5.097e-06,131.714,0.00812,-0.00812,0.631,0.032,-0.488,1.049,0.145,-0.145,2359.0,272.0,-272.0,5.13,0.0,0.0,2089.0,,,4499.32,0.0,0.0,12.4,1.0,q1_q17_dr25_tce,5780.0,,,4.438,,,1.0,,,294.08633,46.131641,17.332
9532052,K02115.01,Kepler-67 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,15.72585941,6.277e-05,-6.277e-05,133.98774,0.00387,-0.00387,0.122,0.286,-0.122,3.8284,0.0841,-0.0841,1313.1,46.3,-46.3,2.69,0.25,-0.11,602.0,,,31.13,8.98,-4.79,32.7,1.0,q1_q17_dr25_tce,5332.0,106.0,-106.0,4.597,0.018,-0.077,0.755,0.069,-0.032,294.15332,46.166439,16.144
9532117,K03241.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,8.21429932,5.046e-05,-5.046e-05,135.00609,0.00466,-0.00466,0.667,0.284,-0.457,3.099,0.139,-0.139,70.7,4.3,-4.3,1.66,0.36,-0.52,1312.0,,,701.11,446.57,-408.62,19.7,1.0,q1_q17_dr25_tce,6277.0,174.0,-174.0,3.951,0.273,-0.117,1.869,0.395,-0.592,294.17792,46.191711,12.344
9532123,K06069.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,8.214204254,8.059e-06,-8.059e-06,135.01403,0.00127,-0.00127,1.092,0.202,-0.086,4.5905,0.012,-0.012,74177.0,136.0,-136.0,42.29,9.23,-3.99,798.0,,,96.12,65.39,-27.75,613.1,1.0,q1_q17_dr25_tce,5654.0,178.0,-198.0,4.59,0.036,-0.144,0.774,0.169,-0.073,294.17896,46.188431,16.356
9532421,K03710.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,4.309067482,7.901e-06,-7.901e-06,134.71445,0.00138,-0.00138,1.993,49.45,-1.52,2.21,0.0361,-0.0361,23647.0,346.0,-346.0,101.41,9.89,-9.9,882.0,,,142.6,54.16,-41.69,82.0,1.0,q1_q17_dr25_tce,4897.0,169.0,-169.0,4.526,0.08,-0.096,0.789,0.077,-0.077,294.29193,46.161968,16.77
9532424,K02941.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,4.30908594,1.554e-05,-1.554e-05,134.70804,0.00287,-0.00287,0.871,0.065,-0.635,1.52,0.103,-0.103,160.8,11.8,-11.8,1.62,0.44,-0.29,1172.0,,,445.13,355.98,-181.14,17.0,1.0,q1_q17_dr25_tce,5754.0,156.0,-173.0,4.348,0.149,-0.182,1.097,0.298,-0.199,294.29269,46.159409,14.562
9532603,K05688.01,,CANDIDATE,CANDIDATE,0.886,0,0,0,0,14.5555096,0.0001733,-0.0001733,132.8686,0.0113,-0.0113,0.528,0.437,-0.315,2.07,0.375,-0.375,725.0,122.0,-122.0,2.03,0.26,-0.18,594.0,,,29.45,13.9,-8.26,8.1,1.0,q1_q17_dr25_tce,5176.0,184.0,-184.0,4.612,0.033,-0.083,0.738,0.097,-0.065,294.35034,46.14957,16.897
9532637,K03842.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,0.61496383,7.7e-08,-7.7e-08,132.022402,0.000114,-0.000114,0.506,0.021,-0.018,1.93053,0.00408,-0.00408,358050.0,552.0,-552.0,44.79,3.24,-3.92,1460.0,,,1074.84,342.64,-298.12,806.5,3.0,q1_q17_dr25_tce,4509.0,157.0,-157.0,4.612,0.052,-0.028,0.663,0.048,-0.058,294.35965,46.125389,17.453
9532710,K02364.01,,CANDIDATE,CANDIDATE,0.305,0,0,0,0,5.24242029,4.077e-05,-4.077e-05,133.23047,0.00765,-0.00765,0.863,0.034,-0.602,6.413,0.185,-0.185,334.9,19.1,-19.1,3.86,2.42,-2.41,1367.0,,,825.0,1706.42,-724.25,20.1,1.0,q1_q17_dr25_tce,5383.0,206.0,-187.0,3.824,0.791,-0.339,1.829,1.143,-1.143,294.3847,46.157841,15.83
9532997,K08284.01,,FALSE POSITIVE,FALSE POSITIVE,0.134,1,0,0,0,49.763624,0.001894,-0.001894,135.0312,0.0487,-0.0487,0.02,0.482,-0.02,2.749,0.661,-0.661,412.0,133.0,-133.0,2.43,0.83,-0.34,588.0,,,28.31,28.76,-10.27,6.8,1.0,q1_q17_dr25_tce,6477.0,179.0,-246.0,4.361,0.072,-0.203,1.187,0.409,-0.163,294.48926,46.140121,14.867
